City,Climate,HousingCost,HlthCare,Crime,Transp,Educ,Arts,Recreat,Econ,Pop
"Abilene,TX",-0.14700595462616242,-0.9012965507862308,-0.9473398010099696,-0.1067121114128563,-0.12359248615216122,-0.18072627086556825,-0.4648933596684439,-0.5466463581079152,1.9464333247776007,-0.46098996984336565
"Akron,OH",0.30066421847778096,-0.0875697930791169,0.4695680543772997,-0.21046662676658648,0.46441054532107146,-1.1766518604487808,0.5206039458545055,0.9744416431333566,-1.085467275623835,0.15494969831854383
"Albany,GA",-0.5863859393392921,-0.42305363178292704,-0.5669015396269185,0.025084164847287413,-1.1588090908585569,-0.7957649578495584,-0.6286395187953964,-1.2235119234524419,-0.25430354112450754,-0.4593419212368996
"Albany-Schenectady-Troy,NY",-0.520064432212782,-0.18414211210524498,0.24489978978100965,-0.9844192277836007,1.8446993515962655,1.8236130034680442,0.3244968857143214,-0.2838340873148022,0.31273482885614473,0.3517648200616208
"Albuquerque,NM",0.9970400433061374,0.019499517145503364,0.666277601601607,1.4636264993463028,1.6204024205765466,0.659098129127799,0.2901943306402958,0.949648032681176,0.18621323816013602,-0.11482352622343309
"Alexandria,LA",-0.1552961430169762,-1.0612706966512517,-0.5449339759775034,-0.656330625178562,-1.2188516539315277,0.4905088443707662,-0.6077128028068398,-1.0264027203576072,-0.2506094800822883,-0.4336906612940815
"Allentown,Bethlehem,PA-NJ",0.16802120422476072,-0.024587845888163803,-0.5639059627656345,-1.2536201324851708,-0.9172585497603978,1.0274969365598337,-0.17644986197050536,-0.9036743486193138,-0.3956013759893932,0.12709319238326405
"Alton,Granite-City,IL",-0.014362940373142154,-0.7807910918275406,-0.22041314933841774,-0.7152183230820305,0.5279038304097304,0.4062142019922498,-0.35896534368513217,-0.701606423434043,0.24901227587786298,-0.28464092110099426
"Altoona,PA",0.18460158100638824,-0.9050754676176881,-0.7526273050265182,-1.5761003829089266,0.02478856052242215,-0.11516377123783327,-0.6245404713337203,-0.7883840600166747,-1.196289106890412,-0.43218947960424614
"Amarillo,TX",0.5825306237654491,-0.7560181925990991,-0.5159767329850927,0.31391430218334704,0.4775232889806858,0.11586598935513766,-0.4133316573873614,-0.9135917928001861,0.6609000820853075,-0.39062053659026846
"Anaheim-Santa-Ana,CA",2.8706226196300486,3.23325834247587,0.8380240083152154,0.061538454025625036,-0.1767336051937562,0.08776777522896552,0.5352742209805039,1.6240342369804848,0.6415062616136565,1.5814433948789821
"Anchorage,AK",-2.8496073700314506,1.6074843456534007,-0.5838764751741937,0.7345407157795504,0.6079605811736917,-1.2515804314519063,-0.1736452505493586,1.430644075453477,1.978756358897019,-0.38979987565153845
"Anderson,IN",-0.07239425910883852,-1.1095568561643159,-0.6048455132031807,-0.2329000354917173,-0.9283008602105994,-1.0798691229030766,-0.5870018261583715,-1.2495452144272314,-1.9905122309675471,-0.4291456347290385
"Anderson,SC",0.43330723273080124,-1.1007393835575823,-0.36519936430047134,0.03910504530049419,-1.0373436759063397,-0.1338959139886147,-0.6433097939213946,-1.5284733320142616,-1.1667366185526582,-0.435985597006623
"Ann-Arbor,MI",0.060248755144181744,1.1200040743954238,1.320311882981918,0.2970892456394989,-0.5362988392284442,1.6581457425028083,0.951003929330487,0.5479915433558525,-0.8739822809567839,-0.28854354504596585
"Anniston,AL",0.1763113926155745,-1.1826159149058213,-0.5868720520354775,0.45973145889669753,-0.7999340012270063,-1.95403578460621,-0.6219515992526617,-0.8441696835340807,-0.7345314766130079,-0.45109158811106054
"Appleton-Oshkosh-Neenah,WI",-1.1832795034778834,-0.19715838119137527,-0.35221853123490793,-1.222774195488116,-0.6294683336520198,0.09088979902076243,-0.428217671853448,0.5814629174662962,-0.23121565961063734,-0.25869816956791686
"Asheville,NC",1.2871966369846193,-0.6821193745617141,0.018234473943863686,-1.1078029757718204,0.6045098591580037,0.5467052726231104,-0.37967632033360044,-0.3768101265104789,-0.3041733651944672,-0.40493165255049896
"Athens,GA",0.5162091166389389,-0.6951356436478444,-0.5798823726924819,-0.07867035050644275,-1.6177551189450587,-0.5272709117550246,0.08524195755649502,-1.0474772892419606,-0.3069439109761316,-0.4395956082398343
"Atlanta,GA",1.3037770137662468,-0.012831215745852559,2.0062989842159236,0.9728956834840656,2.8978597107842385,0.7558808666735031,0.951003929330487,-0.5999526205801031,0.7292402113663633,1.8118585280069481
"Atlantic-City,NJ",0.6322717541103317,1.145196853271805,-0.5479295528387873,2.5712760551496383,-0.4514110776425198,0.35626182132349926,-0.5457956122015232,1.0723764044194695,2.3841795582805796,-0.27549705413886033
